longitud,latitud
-99.16848,19.43293
-99.17151,19.43159
-99.15875,19.43166
-99.17169,19.42849
-99.16945,19.4298
-99.16699,19.43096
-99.17515,19.42536
-99.15815,19.43126
-99.17001,19.42818
-99.15514,19.43343
-99.16355,19.43119
-99.16169,19.43222
-99.17522,19.42362
-99.17325,19.42454
-99.17141,19.4256
-99.16923,19.42646
-99.1674,19.42755
-99.16525,19.42832
-99.1616,19.43007
-99.16015,19.43091
-99.17503,19.42336
-99.17221,19.42468
-99.17049,19.42545
-99.16906,19.4261
-99.16684,19.42719
-99.155,19.4326
-99.1627,19.42916
-99.17257,19.42366
-99.1503,19.43494
-99.16426,19.42638
-99.16125,19.42794
-99.1697,19.42285
-99.1665,19.42419
-99.16369,19.42458
-99.16352,19.42456
-99.17588,19.41966
-99.17267,19.42038
-99.17158,19.4213
-99.16725,19.42232
-99.16414,19.42238
-99.15032,19.43542
-99.16821,19.42063
-99.14591,19.43521
-99.17471,19.41814
-99.17194,19.41875
-99.16976,19.41919
-99.16627,19.41971
-99.14667,19.43371
-99.17562,19.41689
-99.17359,19.41689
-99.16844,19.41803
-99.14371,19.43656
-99.17847,19.41469
-99.1708,19.41616
-99.13807,19.43451
-99.16561,19.4171
-99.17477,19.41497
-99.1719,19.41536
-99.16659,19.41524
-99.17721,19.41412
-99.16943,19.41379
-99.17523,19.41331
-99.17168,19.41299
-99.16694,19.41298
-99.13981,19.43652
-99.17848,19.41181
-99.17575,19.4117
-99.17378,19.41177
-99.16814,19.4108
-99.16983,19.41128
-99.17127,19.41136
-99.17957,19.40986
-99.17554,19.41007
-99.1728,19.41047
-99.17676,19.40868
-99.17044,19.40944
-99.17827,19.40675
-99.17736,19.40751
-99.17431,19.40745
-99.17213,19.40723
-99.16873,19.40793
-99.14404,19.43334
-99.17216,19.40628
-99.16957,19.40687
-99.16243,19.43408
-99.15924,19.43245
-99.13956,19.43279
-99.13533,19.43376
-99.13373,19.43496
-99.13251,19.43144
-99.137571,19.4374
-99.131497,19.436531
-99.134811,19.436741
-99.130918,19.433766
-99.133698,19.430722
-99.14248,19.430625
-99.132759,19.429189
-99.14861,19.430267
-99.14591,19.429947
-99.1338,19.428485
-99.135895,19.428366
-99.139494,19.428214
-99.137116,19.427059
-99.135014,19.426755
-99.133537,19.42649
-99.149971,19.427329
-99.149533,19.427305
-99.137421,19.425311
-99.143391,19.425126
-99.151734,19.432819
-99.154419,19.430369
-99.153618,19.428989
-99.159698,19.429947
-99.15664,19.428985
-99.160369,19.427132
-99.158251,19.427114
-99.155535,19.426785
-99.159458,19.425437
-99.161317,19.424137
-99.146337,19.425502
-99.153117,19.424161
-99.150358,19.422392
-99.156204,19.424541
-99.162138,19.422288
-99.15833,19.423318
-99.160645,19.422148
-99.163312,19.4206
-99.158015,19.421576
-99.161314,19.419579
-99.15645,19.420667
-99.154725,19.421138
-99.15956,19.418304
-99.155099,19.419225
-99.162729,19.417715
-99.157081,19.418774
-99.155313,19.417702
-99.162097,19.416128
-99.156853,19.416605
-99.15954,19.415905
-99.164121,19.413232
-99.157542,19.414303
-99.154837,19.415192
Cuauhtémoc,-99.160661
-99.165716,19.410737
-99.158443,19.412182
-99.155116,19.412829
-99.155699,19.41199
-99.164292,19.409965
-99.160873,19.410529
-99.167181,19.409098
-99.165141,19.407468
-99.167962,19.406683
-99.159911,19.408218
-99.162171,19.407124
-99.166616,19.406236
-99.155541,19.407507
-99.155373,19.407517
-99.163455,19.440252
-99.164913,19.405533
-99.162485,19.404907
-99.15643,19.405246
-99.16596,19.403204
-99.160503,19.404268
-99.183549,19.406069
-99.179375,19.404651
-99.1776,19.403997
-99.174934,19.403019
-99.184342,19.404029
-99.10416,19.24908
-99.181553,19.403365
-99.176398,19.401682
-99.161636,19.441114
-99.172645,19.400806
-99.183086,19.40923
-99.181692,19.408841
-99.180457,19.406833
-99.171438,19.404452
-99.169953,19.404554
-99.175095,19.404976
-99.170466,19.400665
-99.164018,19.437665
-99.185083,19.414793
-99.182805,19.412776
-99.188751,19.412489
-99.185514,19.411227
-99.190139,19.411711
-99.187978,19.410036
-99.18432,19.409421
-99.187953,19.407904
-99.190755,19.42592
-99.190733,19.425907
-99.180334,19.424282
-99.185181,19.424858
-99.192904,19.438349
-99.204316,19.440077
-99.203888,19.438168
-99.197241,19.437934
-99.188785,19.437596
-99.187215,19.437431
-99.198943,19.43617
-99.194832,19.435985
-99.19152,19.435882
-99.184713,19.435525
-99.201419,19.435798
-99.183322,19.434861
-99.189835,19.434182
